"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"4473","May-15","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4474","Aug-15","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4475","Nov-15","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4476","Feb-16","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4477","May-16","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4478","Aug-16","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4479","Nov-16","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4480","Feb-17","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4481","May-17","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4482","Aug-17","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4483","Nov-17","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4484","Feb-18","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4485","Aug-03","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4486","Nov-03","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4487","Feb-04","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4488","May-04","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4489","Aug-04","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4490","Nov-04","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4491","Feb-05","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4492","May-05","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4493","Aug-05","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4494","Nov-05","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4495","Feb-06","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4496","May-06","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4497","Aug-06","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4498","Nov-06","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4499","Feb-07","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4500","May-07","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4501","Aug-07","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4502","Nov-07","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4503","Feb-08","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4504","May-08","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4505","Aug-08","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4506","Nov-08","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4507","Feb-09","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4508","May-09","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4509","Aug-09","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4510","Nov-09","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4511","Feb-10","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4512","May-10","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4513","Aug-10","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4514","Nov-10","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4515","Feb-11","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4516","May-11","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4517","Aug-11","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4518","Nov-11","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4519","Feb-12","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4520","May-12","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4521","Aug-12","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4522","Nov-12","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4523","Feb-13","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4524","May-13","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4525","Aug-13","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4526","Nov-13","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4527","Feb-14","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4528","May-14","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4529","Aug-14","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4530","Nov-14","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4531","Feb-15","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4532","May-15","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4533","Aug-15","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4534","Nov-15","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4535","Feb-16","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4536","May-16","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4537","Aug-16","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4538","Nov-16","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4539","Feb-17","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4540","May-17","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4541","Aug-17","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4542","Nov-17","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4543","Feb-18","Female","18-24","E00024278","6 months up to 1 year","Children",0
"4544","Aug-03","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4545","Nov-03","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4546","Feb-04","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4547","May-04","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4548","Aug-04","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4549","Nov-04","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4550","Feb-05","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4551","May-05","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4552","Aug-05","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4553","Nov-05","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4554","Feb-06","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4555","May-06","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4556","Aug-06","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4557","Nov-06","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4558","Feb-07","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4559","May-07","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4560","Aug-07","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4561","Nov-07","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4562","Feb-08","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4563","May-08","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4564","Aug-08","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4565","Nov-08","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4566","Feb-09","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4567","May-09","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4568","Aug-09","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4569","Nov-09","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4570","Feb-10","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4571","May-10","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4572","Aug-10","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4573","Nov-10","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4574","Feb-11","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4575","May-11","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4576","Aug-11","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4577","Nov-11","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4578","Feb-12","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4579","May-12","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4580","Aug-12","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4581","Nov-12","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4582","Feb-13","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4583","May-13","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4584","Aug-13","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4585","Nov-13","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4586","Feb-14","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4587","May-14","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4588","Aug-14","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4589","Nov-14","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4590","Feb-15","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4591","May-15","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4592","Aug-15","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4593","Nov-15","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4594","Feb-16","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4595","May-16","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4596","Aug-16","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4597","Nov-16","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4598","Feb-17","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4599","May-17","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4600","Aug-17","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4601","Nov-17","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4602","Feb-18","Unknown","18-24","E00024278","6 months up to 1 year","Children",0
"4603","Aug-03","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4604","Nov-03","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4605","Feb-04","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4606","May-04","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4607","Aug-04","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4608","Nov-04","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4609","Feb-05","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4610","May-05","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4611","Aug-05","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4612","Nov-05","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4613","Feb-06","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4614","May-06","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4615","Aug-06","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4616","Nov-06","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4617","Feb-07","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4618","May-07","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4619","Aug-07","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4620","Nov-07","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4621","Feb-08","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4622","May-08","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4623","Aug-08","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4624","Nov-08","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4625","Feb-09","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4626","May-09","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4627","Aug-09","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4628","Nov-09","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4629","Feb-10","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4630","May-10","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4631","Aug-10","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4632","Nov-10","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4633","Feb-11","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4634","May-11","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4635","Aug-11","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4636","Nov-11","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4637","Feb-12","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4638","May-12","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4639","Aug-12","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4640","Nov-12","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4641","Feb-13","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4642","May-13","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4643","Aug-13","Male","25-29","E00024278","6 months up to 1 year","Children",0
"4644","Nov-13","Male","25-29","E00024278","6 months up to 1 year","Children",0
